,T1,T2,C3,C4
151013,0.44185578455762103,0.4402602089770176,0.3327104352874792,0.2949559076944302
151014,0.281386862031172,0.2572840064806373,0.20205956013579285,0.15035945383167507
151015,0.1385370568506345,0.07285720169128168,0.1227290584819404,0.1376578645157119
151016,0.15387543398193476,0.13541060849728226,0.10541752036769726,0.1258160200374686
151017,0.31096156256605223,0.2680758128837283,0.26078634061500683,0.23864235925335986
151018,0.17401240882054136,0.1458975022250226,0.07596591227115532,0.08547588823451494
151019,0.17810623109028506,0.18258736726858282,0.09971802807347266,0.12570427022067848
151020,0.19858434201548977,0.20413995010645541,0.10742320698175484,0.11804595483121617
151021,0.22532512879432004,0.24042695767868968,0.1677153699310867,0.21004922724836156
151022,0.1977960355139604,0.2519404465153824,0.3054602312310052,0.21371280668691595
151023,0.2704883788939031,0.32737308145219035,0.18390657871215227,0.13445667403668185
151025,0.07690388373300623,0.07782515208664001,0.08544731328983368,0.09849907943923608
151026,0.2372747761033357,0.19917799947925802,0.13232247057488564,0.14388998569111
151037,0.0958894170953625,0.08791794292665667,0.0767053189773944,0.09244234085533279
151038,0.16371151838084178,0.1748834389938207,0.09640956738091894,0.09544417406418065
151039,0.04936420010997568,0.04609582892776298,0.0950129494020536,0.06850534158491026
151040,0.07356261768288151,0.09432732891282909,0.048474971263383376,0.03976986674714507
151041,1.0082190295014193,1.0580533930271412,0.39915831587857986,0.4067313821934938
151042,0.08060576615934378,0.0747802583964022,0.046138868834833105,0.019704917979485762
151062,0.0842038981305569,0.10787519182962026,0.12190662200825303,0.09829502527797379
151063,0.0629475225293529,0.04845251597839592,0.06391621117955694,0.0606452005027349
151064,0.2899958610200528,0.25228875302157566,0.23392912054573103,0.23690810318643735
151065,0.3451595188653501,0.37238684635740005,0.25809154303578963,0.29756251454564664
151066,0.11614837725462589,0.13200480612906756,0.08777550786672175,0.054826851101265194
151068,0.16619347014991692,0.15652838324245877,0.067265709824646,0.0797150521022216
151069,0.23069481305461548,0.25229272418707127,0.16209964912423497,0.1410649717858936
151070,0.1488243614462555,0.10433030445348937,0.07186602560449397,0.05502476160396835
151072,0.05167337632623352,0.03121924881517269,0.058444539533259274,0.06250909719777686
151073,0.5511246708686182,0.46581221833114195,0.4254338794782132,0.3644209557225749
151076,0.10676565933547577,0.17924089897440199,0.11383152622985865,0.08203849237167171
151077,0.29542851824866867,0.24366717359111376,0.16315536960891056,0.15733847127119419
151078,0.21215437195819598,0.15193131410004498,0.11306911974338249,0.1095233146350989
151079,0.15495626825006248,0.12363507013590448,0.18427582141425553,0.16976294177366918
151080,0.08903500355072619,0.08577696035962971,0.11899082906500989,0.10841338556350401
151081,0.20913688810809009,0.15386189778577422,0.13776867277032795,0.16416324263665016
151082,0.32097928983624485,0.26748313000919843,0.2020057708121762,0.26742862715128
151084,0.3779335881476866,0.43415088208396607,0.4380529782035376,0.39769980217142886
151085,0.0679665531316424,0.08764466959969554,0.07882994357645451,0.11229172047657376
151086,0.21391272975626918,0.14451024680737862,0.08841837625193552,0.12329276857812967
151087,0.16271080548665767,0.154263311427894,0.14813752016968668,0.11650321048501
151088,0.1070287864860464,0.11460475026671291,0.04847254177406046,0.051035662351924624
151089,0.07032277717916582,0.08691441948585632,0.09437542439115425,0.06531873792572751
151090,0.48707499831964346,0.49636742955714536,0.3491895047776893,0.3367372646425809
151091,0.12153141036441875,0.10119703334086913,0.045547588813120446,0.04014992820502765
151092,0.08099086933420413,0.14602342897098705,0.07840217804338748,0.06564388438838212
151098,0.37775774654178707,0.3817734477472753,0.16831759183907893,0.2112751238161475
151099,0.041144448569326544,0.019462431108071748,0.09778338234398787,0.055898556224328426
151100,0.16874165271728586,0.16960052426653333,0.07855742240055068,0.10184809214574113
151101,0.04249351336337175,0.1548387839453146,0.07547205196801474,0.02612964145633588
151103,0.1160054048765148,0.11715099188411013,0.11874220922524648,0.1408260038662748
151105,0.4995722018263668,0.5332982662452483,0.2738502432649719,0.3465454361681155
151109,0.09984016252841066,0.0857896614365068,0.08383810757980363,0.07936478430505842
151110,0.10747809010854756,0.12766965677151398,0.08743951753198217,0.11039953291739295
151111,0.07071554615032649,0.0862508653831666,0.07195202887157572,0.09095104300840413
151112,0.16625657990838139,0.16011021629535022,0.18096642144076913,0.15977642329065614
151114,0.7110804887750103,0.6002167852378766,0.3488046818319364,0.31529386660842174
151117,0.3167796109322055,0.2600015074404812,0.14700172367152864,0.12594074263312127
151118,0.11267651005071866,0.11833756268494731,0.09530523710128305,0.08218938661096378
151119,0.29985230862401924,0.3040152664886271,0.13515568404639694,0.14884267412629754
151120,0.11240883439713105,0.09572497211603173,0.05839732998236833,0.0389625479365214
151121,0.12234584395014438,0.13669968347839595,0.08677948342846034,0.08725646265471987
151122,0.5269544388810947,0.43385388692945415,0.1970175307690817,0.17206181049964953
151125,0.04673729255857305,0.04329564237511002,0.05051970014042954,0.009730344761937869
151126,0.16840859556385374,0.1936684498141778,0.15629810213349232,0.20672202253053715
151127,0.1205141087808517,0.1755820425321359,0.1153689990034292,0.08735906187661167
151128,0.6845115582219967,0.6725068236460976,0.18600032212704343,0.21693227719679817
151129,0.13909589345283951,0.11646807996948122,0.12050744673873423,0.12598195059028955
151130,0.22970166820705504,0.17545809552187963,0.1275762408419595,0.16645152197102536
151131,0.08064360252597867,0.0782093105989213,0.1181199325416245,0.1153597487674283
